"univ","from","to","mean","total_apps","stud_apps","budget_apps","total_per_place","budg_per_place","link","price","year","scopus_public","scopus_qoutes","rate_place","rate_sort","region"
"Комунальний вищий навчальний заклад ""Житомирський інститут медсестринства"" Житомирської обласної ради",106.333333333333,167,139.3,273,47,22,5,12,"http://www.zhim.org.ua",,,,,"267",267,"Житомирська область"
"Комунальний вищий навчальний заклад «Хортицька національна навчально-реабілітаційна академія» Запорізької обласної ради",103.5,173,140.6,346,114,85,3,4,"http://khnnra.com.ua",5500,,,,,500,"Запорізька область"
"Комунальний заклад ""Харківська гуманітарно-педагогічна академія"" Харківської обласної ради",103,182,139.6,904,269,233,3,3,"http://hgpa.kharkov.com",15704,,,,"261, 262",261,"Харківська область"
"Конотопський інститут Сумського державного університету",114,163.333333333333,136.3,62,13,3,4,20,"http://ki.sumdu.edu.ua/abturyentu/",12200,,,,,500,"Сумська область"
"Косівський інститут прикладного та декоративного мистецтва Львівської національної академії мистецтв",105.5,189.5,138.8,65,25,23,2,2,"http://kipdm.com",16966,,,,,500,"Івано-Франківська область"
"Кременецька обласна гуманітарно-педагогічна академія ім. Тараса Шевченка",100.5,177.333333333333,136.7,745,223,145,3,5,"http://www.kogpi.edu.te.ua/",10870,,,,"209",209,"Тернопільська область"
"Кременчуцький льотний коледж Національного авіаційного університету",0,0,0,5,0,0,0,,"http://www.flightcollege.com.ua",18108,,,,,500,"Полтавська область"
"Кременчуцький національний університет імені Михайла Остроградського",101,197,138.3,2165,445,112,4,19,"http://www.kdu.edu.ua/",8370,,194,422,"41",41,"Полтавська область"
"Криворізька філія Приватного вищого навчального закладу ""Європейський університет""",109.333333333333,146,127.7,18,2,0,9,,"http://krivrig.e-u.in.ua/index.php",8000,,,,,500,"Дніпропетровська область"
"Криворізький економічний інститут Державного вищого навчального закладу ""Київський національний економічний університет імені Вадима Гетьмана""",102.333333333333,189.666666666667,141.7,1112,156,20,7,55,"http://www.kneu.dp.ua/",12616,,,,,500,"Дніпропетровська область"
"Криворізький металургійний інститут Національної металургійної академії України",107.666666666667,162.666666666667,132.2,90,17,15,5,6,"https://nmetau.edu.ua",8800,,,,,500,"Дніпропетровська область"
"Криворізький факультет Запорізького національного університету",105.333333333333,164.333333333333,136.5,6,6,0,1,,"http://kfznu.com/",,,,,,500,"Дніпропетровська область"
"Кропивницький інститут приватного вищого навчального закладу ""Університет сучасних знань""",112.666666666667,177,131.8,31,12,0,2,,"http://kkusz.kr.ua/",,,,,,500,"Кіровоградська область"
"Луганська державна академія культури і мистецтв",104,182,136.9,35,24,23,1,1,"https://lgaki.com.ua/",,,,,,500,"м. Київ"
"Луганський державний університет внутрішніх справ імені Е.О. Дідоренка",103.5,155.5,119.7,98,55,0,1,,"http://lduvs.edu.ua",13940,,,,"241",241,"Луганська область"
"Луганський національний аграрний університет",105.666666666667,163.666666666667,131.4,310,85,74,3,4,"http://lu.in.ua",12000,,,,"182",182,"Харківська область"
"Луцька філія Тернопільського національного економічного університету",127.333333333333,127.333333333333,127.3,5,1,0,5,,"http://www.tneu.edu.ua/lutskiy-nkc/",,,,,,500,"Волинська область"
"Луцький біотехнічний інститут Приватного вищого навчального закладу «Міжнародний науково-технічний університет імені академіка Юрія Бугая»",122.666666666667,131.666666666667,126.2,22,3,0,7,,"http://lbi.lutsk.ua",,,,,,500,"Волинська область"
"Луцький інститут розвитку людини Вищого навчального закладу ""Відкритий міжнародний університет розвитку людини ""Україна""",111.333333333333,167.333333333333,127.9,229,10,0,22,,"http://lutsk.vmurol.com.ua",11250,,,,,500,"Волинська область"
"Луцький національний технічний університет",101.333333333333,188.5,142.8,4845,751,387,6,12,"http://lutsk-ntu.com.ua",12900,,299,265,"67",67,"Волинська область"
"Львівська національна академія мистецтв",109,196.5,158.9,392,181,105,2,3,"https://lm.edu.ua/uk/",,,,,"185",185,"Львівська область"
"Львівська національна музична академія імені М.В.Лисенка",111,193,150.7,155,136,104,1,1,"http://conservatory.lviv.ua",42178,2015,,,"152, 153",152,"Львівська область"
"Львівська філія Дніпропетровського національного університету залізничного транспорту імені академіка В. Лазаряна",101,163.333333333333,131.8,220,48,17,4,12,"http://lf.diit.edu.ua/",9125,2016,,,,500,"Львівська область"
"Львівська філія Приватного вищого навчального закладу ""Європейський університет""",110.333333333333,172.666666666667,143,45,7,0,6,,"http://lviv.e-u.in.ua",9000,,,,,500,"Львівська область"
"Львівський державний університет безпеки життєдіяльності",100.5,191,141,1667,390,139,4,12,"http://ldubgd.edu.ua",11207,,64,138,"98",98,"Львівська область"
"Львівський державний університет внутрішніх справ",104.666666666667,184,140.8,368,332,0,1,,"http://www2.lvduvs.edu.ua",11866,,,,"191",191,"Львівська область"
"Львівський державний університет фізичної культури",102.5,189.333333333333,143.1,480,469,219,1,2,"www.ldufk.edu.ua",10500,,59,54,"104, 105, 106",104,"Львівська область"
"Львівський інститут економіки і туризму",118,185,147.2,1499,85,5,17,299,"http://www.liet.lviv.ua",9000,,,,"283",283,"Львівська область"
"Львівський інститут Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",116.333333333333,149.666666666667,131,124,15,0,8,,"http://li-maup.edu.lviv.ua",8100,,,,,500,"Львівська область"
"Львівський навчально-науковий інститут Державного вищого навчального закладу ""Університет банківської справи""",117.333333333333,180.666666666667,149.2,600,44,6,13,100,"http://www.ubs.edu.ua",13000,,,,,500,"Львівська область"
"Львівський національний аграрний університет",100.333333333333,189.5,136,2699,353,180,7,15,"http://lu.lviv.ua",10216,,,,"175",175,"Львівська область"
"Львівський національний університет ветеринарної медицини та біотехнологій  імені С.З. Гжицького",102.333333333333,189.333333333333,142.7,1627,220,83,7,19,"http://lvet.edu.ua/",9000,,122,579,"122, 123",122,"Львівська область"
"Львівський національний університет імені Івана Франка",102.333333333333,199,166.4,37685,3861,1666,9,22,"http://admission.lnu.edu.ua",13456,,5823,28547,"4",4,"Львівська область"
"Львівський регіональний інститут державного управління Національної академії державного управління при Президентові України",114,142.333333333333,128.2,37,2,0,18,,"http://www.lvivacademy.com/",12400,,,,,500,"Львівська область"
"Львівський торговельно-економічний університет",106.333333333333,184.333333333333,139.7,406,391,0,1,,"http://www.lute.lviv.ua",10248,,5,26,"101",101,"Львівська область"
"Маріупольський державний університет",103,185,140.9,592,529,189,1,3,"http://mdu.in.ua",9281,,14,15,"116",116,"Донецька область"
"Маріупольський інститут Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",113.333333333333,125.666666666667,121.1,13,5,0,2,,"http://mariupol.maup.com.ua",,,,,,500,"Донецька область"
"Мелітопольський державний педагогічний університет імені Богдана Хмельницького",106.666666666667,191.666666666667,137.2,1888,373,140,5,13,"http://www.abitur.mdpu.org.ua",7960,,,,"130, 131",130,"Запорізька область"
"Мелітопольський інститут державного та муніципального управління ""Класичного приватного університету""",0,0,0,26,0,0,0,,"http://www.midmu-kpu.com.ua",9000,,,,,500,"Запорізька область"
"Мелітопольський інститут екології та соціальних технологій вищого навчального закладу ""Відкритий міжнародний університет розвитку людини ""Україна""",112.666666666667,141.666666666667,120.9,29,4,0,7,,"http://www.miest.org.ua",8000,,,,,500,"Запорізька область"
"Миколаївська філія Приватного вищого навчального закладу ""Європейський університет""",0,0,0,10,0,0,0,,"http://mikolaiv.e-u.in.ua/",7500,,,,,500,"Миколаївська область"
"Миколаївський міжрегіональний інститут розвитку людини Вищого навчального закладу ""Відкритий міжнародний університет розвитку людини ""Україна""",104,157.666666666667,126.4,27,12,0,2,,"http://mmirl.edu.ua/",6900,,,,,500,"Миколаївська область"
"Миколаївський національний аграрний університет",102.666666666667,189,132,1908,482,185,4,10,"https://www.mu.edu.ua",7290,,,,"87",87,"Миколаївська область"
"Миколаївський національний університет імені В.О. Сухомлинського",100.5,184,134.5,3279,555,177,5,18,"http://mdu.edu.ua",7761,,,,"147, 148",147,"Миколаївська область"
"Миколаївський факультет морського та річкового транспорту Державного університету інфраструктури та технологій",0,0,0,48,0,0,0,,"http://ksmank.mk.ua",20200,,,,,500,"Миколаївська область"
"Міжнародний гуманітарний університет",102,182.666666666667,138.6,1730,345,0,5,,"http://mgu.edu.ua",11150,,71,60,"196",196,"Одеська область"
"Мукачівський державний університет",102,187,133.5,1412,268,51,5,27,"http://msu.edu.ua",10300,,32,18,"171",171,"Закарпатська область"
"Навчально-науковий інститут бізнесу та гостинності Донецького національного університету економіки і торгівлі імені Михайла Туган-Барановського",0,0,0,2,0,0,0,,,,,,,,500,"Донецька область"
"Навчально-науковий професійно-педагогічний інститут Української інженерно- педагогічної академії ( м.Бахмут)",104.333333333333,167.333333333333,128.7,43,15,5,2,8,"http://www.nnppi.in.ua",9178,,,,,500,"Донецька область"
"Надслучанський інститут Національного університету водного господарства та природокористування",119.666666666667,141,133.6,8,3,2,2,4,"http://nuwm.edu.ua/vidokremleni-strukturni-pidrozdili/dsluchansjkij-institut",9500,,,,,500,"Рівненська область"
"Національнa академія Служби безпеки України",109.333333333333,175.333333333333,143.1,590,107,0,5,,"http://academy.ssu.gov.ua",16700,,7,62,"222, 223",222,"м. Київ"
"Національна академія внутрішніх справ",101,181.333333333333,136.5,1621,348,0,4,,"https://www.iau.kiev.ua",18300,,,,"163",163,"м. Київ"
"Національна академія керівних кадрів культури і мистецтв",103.5,195,141.1,422,178,25,2,16,"http://kkkim.edu.ua/",14500,,,,"120",120,"м. Київ"
"Національна академія Національної гвардії України",121.333333333333,176.333333333333,153.2,125,16,0,7,,"http://ngu.edu.ua/?m=201708",,,,,"205",205,"Харківська область"
"Національна академія образотворчого мистецтва і архітектури",118.5,194,160.5,285,176,106,1,2,"http://oma.edu.ua",28073,,,,"168",168,"м. Київ"
"Національна академія статистики, обліку та аудиту",101.333333333333,170,130.2,325,37,0,8,,"http://soa.edu.ua/",11000,,,,"195",195,"м. Київ"
"Національна металургійна академія України",100.666666666667,188.333333333333,136.2,2387,272,107,8,22,"https://nmetau.edu.ua",,,871,800,"24",24,"Дніпропетровська область"
"Національна музична академія України імені П.І. Чайковського",105.5,195,151.8,225,156,156,1,1,"http://knmau.com.ua/",23400,,,,"133, 134",133,"м. Київ"
"Національний авіаційний університет",104.333333333333,194,155.8,26170,2428,1030,10,25,"http://u.edu.ua",19406,,1360,1980,"14",14,"м. Київ"
"Національний аерокосмічний університет ім. М. Є. Жуковського ""Харківський авіаційний інститут""",106,197.333333333333,150.7,6672,706,337,9,19,"https://www.khai.edu",11484,,866,2749,"13",13,"Харківська область"
"Національний медичний університет імені О.О. Богомольця",116.666666666667,169,140,17,17,0,1,,"http://nmu.ua",23981,,467,2699,"25",25,"м. Київ"
"Національний педагогічний університет імені М.П. Драгоманова",101.666666666667,197,149.2,17185,1572,559,10,30,"http://www.vstup.npu.edu.ua",16729,,105,85,"37",37,"м. Київ"
"Національний технічний університет ""Харківський політехнічний інститут""",102.333333333333,194.333333333333,148.8,17032,1808,827,9,20,"http://vstup.kpi.kharkov.ua",9983,,2425,8556,"5",5,"Харківська область"
"Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»",110,198,168.3,37209,4567,3346,8,11,"http://kpi.ua",23483,,5862,13118,"2-3",2,"м. Київ"
"Національний транспортний університет",100,189.333333333333,142,7793,1105,250,7,31,"http://www.ntu.edu.ua",12557,,232,682,"47",47,"м. Київ"
"Національний університет ""Києво-Могилянська академія""",109.666666666667,198.333333333333,177.8,12985,1004,430,12,30,"http://www.ukma.edu.ua",29071,,319,2217,"12",12,"м. Київ"
"Національний університет ""Львівська політехніка""",112,198.666666666667,163.5,27663,3883,1900,7,14,"http://www.lp.edu.ua",13619,,4278,9025,"6",6,"Львівська область"
"Національний університет ""Одеська морська академія""",104,194,153.4,2605,579,235,4,11,"http://www.onma.edu.ua",19900,,14,22,"114",114,"Одеська область"
"Національний університет ""Одеська юридична академія""",106,195.666666666667,152.8,6067,850,187,7,32,"http://vstup.onua.edu.ua",18375,,6,1,"63",63,"Одеська область"
"Національний університет ""Острозька академія""",110,197,162.7,4094,540,170,7,24,"http://www.oa.edu.ua",14212,,,,"95",95,"Рівненська область"
"Національний університет біоресурсів і природокористування України",102.666666666667,190.666666666667,149.5,10920,1304,669,8,16,"https://nubip.edu.ua",17329,,504,1505,"10",10,"м. Київ"
"Національний університет водного господарства та природокористування",101,194.5,145.6,5258,801,495,6,10,"http://start.nuwm.edu.ua/",15850,,182,219,"66",66,"Рівненська область"
"Національний університет кораблебудування імені адмірала Макарова",104.666666666667,190.333333333333,140,2143,284,137,7,15,"http://www.nuos.edu.ua/",,,132,317,"75",75,"Миколаївська область"
"Національний університет фізичного виховання і спорту України",100,190.5,138.1,1997,782,284,2,7,"http://vstup.uni-sport.edu.ua",13050,,28,70,"81",81,"м. Київ"
"Національний університет харчових технологій",100,197.333333333333,146.3,1116,1086,359,1,3,"http://nuft.edu.ua",17250,,286,977,"19",19,"м. Київ"
"Національний університет цивільного захисту України",101,177.333333333333,128.6,1101,154,0,7,,"http://nuczu.edu.ua/",9900,,,,"135, 136",135,"Харківська область"
"Національний фармацевтичний університет",105.666666666667,185.666666666667,140.6,677,74,0,9,,"http://nuph.edu.ua",9050,,369,621,"31",31,"Харківська область"
"Національний юридичний університет імені Ярослава Мудрого",103.333333333333,197.333333333333,161,8122,980,389,8,20,"http://vstup.nlu.edu.ua",18000,,10,5,"58",58,"Харківська область"
"Ніжинський державний університет імені Миколи Гоголя",105.666666666667,191,145.4,2037,333,162,6,12,"http://www.ndu.edu.ua/",13127,,,,"158, 159",158,"Чернігівська область"
"Нікопольська філія Приватного вищого навчального закладу ""Європейський університет""",139.333333333333,139.333333333333,139.3,3,1,0,3,,"http://nikopol.e-u.in.ua/",,,,,,500,"Дніпропетровська область"
"Нікопольський факультет Національної металургійної академії України",122.666666666667,160.666666666667,138.8,5,3,0,1,,"https://nmetau.edu.ua/ua/mfac/i2061/p0",6990,,,,,500,"Дніпропетровська область"
"Нововолинський навчально - науковий інститут економіки та менеджменту Тернопільського національного економічного університету",114,171.666666666667,138.4,27,12,2,2,13,"http://nnniem.tneu.edu.ua/",,,,,,500,"Волинська область"
"Новокаховський гуманітарний інститут  вищого навчального закладу «Відкритий міжнародний університет розвитку людини «Україна»",110.333333333333,162.333333333333,129.6,34,13,0,2,,"http://vmurol.net.ua/",6200,,,,,500,"Херсонська область"
"Одеська державна академія будівництва та архітектури",102,194.5,147.5,1091,322,145,3,7,"http://www.ogasa.org.ua",12419,,101,306,"96",96,"Одеська область"
"Одеська національна академія зв'язку ім. О.С. Попова",105,185.666666666667,143.5,1630,178,56,9,29,"https://pk.ot.edu.ua",10645,,156,119,"82",82,"Одеська область"
"Одеська національна академія харчових технологій",102,188,140.4,4980,690,165,7,30,"https://www.oft.edu.ua/",11085,,131,191,"56",56,"Одеська область"
"Одеська національна музична академія імені А.В. Нежданової",106,171,133.1,122,44,13,2,9,"http://odma.edu.ua",12000,,,,"166, 167",166,"Одеська область"
"Одеська філія Приватного вищого навчального закладу ""Європейський університет""",0,0,0,2,0,0,0,,"http://odesa.e-u.in.ua/",,,,,,500,"Одеська область"
"Одеський державний аграрний університет",102,193.666666666667,136.4,1399,177,45,7,31,"http://osau.edu.ua",,,,,"207",207,"Одеська область"
"Одеський державний екологічний університет",106.666666666667,189,134.8,1116,88,36,12,31,"http://odeku.edu.ua",10586,,99,364,"78, 79",78,"Одеська область"
"Одеський державний університет внутрішніх справ",100.5,176,129.1,985,343,0,2,,"http://oduvs.edu.ua",17872,,,,"224",224,"Одеська область"
"Одеський інститут Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",104.666666666667,133.666666666667,116,61,8,0,7,,"http://odessa.maup.com.ua/",10908,,,,,500,"Одеська область"
"Одеський національний економічний університет",103,194.333333333333,150.8,3886,476,99,8,39,"http://oneu.edu.ua",13395,,,,"111, 112",111,"Одеська область"
"Одеський національний медичний університет",101.666666666667,167.666666666667,133.5,250,30,0,8,,"http://onmedu.edu.ua",20380,,448,889,"69",69,"Одеська область"
"Одеський національний морський університет",103.666666666667,195.666666666667,143.6,4051,754,165,5,24,"http://www.osmu.odessa.ua",13900,,81,105,"104, 105, 106",104,"Одеська область"
"Одеський національний політехнічний університет",103.666666666667,194,151.1,10080,1158,545,8,18,"http://opu.ua/",17156,,707,1213,"22",22,"Одеська область"
"Одеський національний університет імені І. І. Мечникова",100.666666666667,197,155.3,10788,1019,251,10,43,"http://onu.edu.ua",16244,,2780,14029,"8",8,"Одеська область"
"Одеський регіональний інститут державного управління Національної академії державного управління при Президентові України",110.333333333333,180.333333333333,140.4,205,41,0,5,,"http://www.oridu.odessa.ua/",11300,,,,,500,"Одеська область"
"Одеський торговельно-економічний інститут Київського національного торговельно-економічного університету",117,168,134.9,90,8,1,11,90,"http://www.otei.odessa.ua",14145,,,,,500,"Одеська область"
"Педагогічний коледж Львівського національного університету імені Івана Франка",0,0,0,19,0,0,0,,"http://pedcollege.lnu.edu.ua/en/",,,,,,500,"Львівська область"
"Первомайська філія Приватного вищого навчального закладу «Університет сучасних знань»",113.333333333333,156,136.2,8,5,0,1,,,,,,,,500,"Миколаївська область"
"Первомайський політехнічний інститут Національного університету кораблебудування імені адмірала Макарова",109.666666666667,144.666666666667,124.7,45,21,7,2,6,"http://www.ppi.net.ua/",5500,2016,,,,500,"Миколаївська область"
"Подільський державний аграрно-технічний університет",101.666666666667,176.666666666667,133.1,152,147,87,1,1,"http://www.pdatu.edu.ua/",,,,,"150, 151",150,"Хмельницька область"
"Полтавська державна аграрна академія",100,194.333333333333,136.9,3048,563,212,5,14,"https://www.pdaa.edu.ua",,,44,58,"99",99,"Полтавська область"
"Полтавський інститут економіки і права вищого навчального закладу Відкритий міжнародний університет розвитку людини «Україна»",103.333333333333,170.666666666667,137.3,139,13,0,10,,"http://pl.vmurol.com.ua/",12200,,,,,500,"Полтавська область"
"Полтавський національний педагогічний університет імені В.Г. Короленка",102,194,139.9,4134,724,288,5,14,"pnpu.edu.ua",9993,,47,97,"132",132,"Полтавська область"
"Полтавський національний технічний університет імені Юрія Кондратюка",103.333333333333,193.666666666667,145.4,3389,552,211,6,16,"http://pntu.edu.ua",10180,,205,270,"57",57,"Полтавська область"
"Полтавський юридичний інститут Національного юридичного університету імені Ярослава Мудрого",109,194,154.9,452,113,34,4,13,"http://pli.nlu.edu.ua",18100,2016,,,,500,"Полтавська область"
"Приватна установа ""Вищий навчальний заклад ""Міжнародний гуманітарно-педагогічний інститут ""Бейт-Хана""",142.333333333333,175.333333333333,154.1,13,7,0,1,,"http://www.betha.org.ua",,,,,"259",259,"Дніпропетровська область"
"Приватне акціонерне товариство ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",101,182,131.3,1398,354,0,3,,"http://maup.com.ua",13800,,58,80,"152, 153",152,"м. Київ"
"Приватне акціонерне товариство ""Вищий навчальний заклад ""Національна академія управління""",103.666666666667,164,133.3,269,20,0,13,,"http://nam.kiev.ua/",11984,,,,"142",142,"м. Київ"
"Приватне акціонерне товариство ""Приватний вищий навчальний заклад ""Запорізький інститут економіки та інформаційних технологій""",112.666666666667,179.666666666667,143.9,246,33,0,7,,"http://www.econom.zp.ua",11638,,,,"287",287,"Запорізька область"
"Приватне акціонерне товариство «Українсько-Польський вищий навчальний заклад ""Центрально-Європейський університет»",108.333333333333,183,142.1,152,39,0,3,,"https://www.c-e-u.info",12475,,,,,500,"м. Київ"
"Приватний вищий навчальний заклад ""Академія рекреаційних технологій і права""",101,155,127.5,164,39,0,4,,"http://www.artip.lutsk.ua",,,,,"273",273,"Волинська область"
"Приватний вищий навчальний заклад ""Бориспільський інститут муніципального менеджменту при Міжрегіональній Академії управління персоналом""",119,129.333333333333,124.6,3,3,0,1,,"http://bor.maup.com.ua/",8133,,,,,500,"Київська область"
"Приватний вищий навчальний заклад ""Вінницький інститут конструювання одягу і підприємництва""",113,113,113,5,1,0,5,,"http://vikop.org.ua",7800,,,,"285",285,"Вінницька область"
"Приватний вищий навчальний заклад ""Вінницький фінансово-економічний університет""",105.333333333333,151.666666666667,127.9,177,11,0,16,,"http://vfeu.edu.ua",,,,,,500,"Вінницька область"
"Приватний вищий навчальний заклад ""Донецький університет економіки та права""",117.333333333333,175,140.8,15,3,0,5,,"http://donuep.edu.ua",13900,,,,"261, 262",261,"Донецька область"
"Приватний вищий навчальний заклад ""Європейський університет""",105,182,129.3,509,48,0,10,,"https://e-u.in.ua/",8000,,,,"125, 126",125,"м. Київ"
"Приватний вищий навчальний заклад ""Інститут ділового адміністрування""",0,0,0,23,0,0,0,,"http://ida.in.ua/",8800,2016,,,"281, 282",281,"Дніпропетровська область"
"Приватний вищий навчальний заклад ""Інститут екології економіки і права""",121,144.666666666667,133.3,158,5,0,31,,"https://ieep.org.ua",7900,,,,"268",268,"м. Київ"
"Приватний вищий навчальний заклад ""Київський інститут бізнесу та технологій"" Товариство з обмеженою відповідальністю",105.333333333333,160.666666666667,128.9,219,38,0,5,,"http://kibit.edu.ua",23400,,,,,500,"м. Київ"
"Приватний вищий навчальний заклад ""Київський міжнародний університет""",0,0,0,1825,0,0,0,,"http://www.kymu.edu.ua",16814,,,,"137, 138",137,"м. Київ"
"Приватний вищий навчальний заклад ""Київський університет культури""",102.5,190,137.1,2753,743,0,3,,"http://kuk-university.com/",,,,,,500,"м. Київ"
"Приватний вищий навчальний заклад ""Комп`ютерна Академія ""Шаг""",108.333333333333,182,149.6,37,37,0,1,,"https://high.itstep.org/",35000,,,,,500,"Львівська область"
"Приватний вищий навчальний заклад ""Кропивницький інститут державного та муніципального управління""",107.333333333333,163.666666666667,125.1,51,15,0,3,,"http://kidmu.com.ua",10000,,,,,500,"Кіровоградська область"
"Приватний вищий навчальний заклад ""Львівський університет бізнесу та права""",108.666666666667,155.666666666667,129.1,423,14,0,30,,"http://lubp.com.ua",15900,,2,1,"246",246,"Львівська область"
"Приватний вищий навчальний заклад ""Медико-природничий університет""",111.333333333333,121,117.4,10,3,0,3,,"http://vnz-mpu.com.ua",12000,,,,,500,"Миколаївська область"
"Приватний вищий навчальний заклад ""Мистецький інститут художнього моделювання та дизайну імені Сальвадора Далі""",112.333333333333,169,135.8,72,26,0,2,,"http://mixmd.edu.ua",19470,,,,"233",233,"м. Київ"
"Приватний вищий навчальний заклад ""Міжнародний економіко-гуманітарний університет імені академіка Степана Дем'янчука""",101,189.333333333333,128,1308,248,0,5,,"http://www.regi.rovno.ua",8691,,,,"174",174,"Рівненська область"
"Приватний вищий навчальний заклад ""Міжнародний класичний університет імені Пилипа Орлика""",104,139.666666666667,119.9,26,13,0,2,,"https://mku.edu.ua",8000,,,,"269",269,"Миколаївська область"
"Приватний вищий навчальний заклад ""Міжнародний науково-технічний університет імені академіка Юрія Бугая""",100.333333333333,175.333333333333,128.4,1092,119,0,9,,"https://istu.edu.ua/abiturijentu/",13400,,,,"188, 189",188,"м. Київ"
"Приватний вищий навчальний заклад ""Міжнародний університет фінансів""",115.333333333333,161.333333333333,139.8,143,13,0,11,,"http://iuf.edu.ua",16000,,,,"211",211,"м. Київ"
"Приватний вищий навчальний заклад ""Нікопольський економічний університет""",111,165.666666666667,131.4,16,8,0,2,,"http://www.neu.edu.ua",9600,,,,"276",276,"Дніпропетровська область"
"Приватний вищий навчальний заклад ""Новокаховський політехнічний інститут""",118.333333333333,118.333333333333,118.3,6,1,0,6,,"http://www.nkpi.com.ua",7000,,,,"284",284,"Херсонська область"
"Приватний вищий навчальний заклад ""Тернопільський інститут соціальних та інформаційних технологій""",106.333333333333,168.666666666667,135.5,128,24,0,5,,"https://www.tisit.edu.ua",7900,,,,"231",231,"Тернопільська область"
"Приватний вищий навчальний заклад ""Український гуманітарний інститут""",101,184.333333333333,141.4,77,37,0,2,,"http://ugi.edu.ua",17055,,,,"217",217,"Київська область"
"Приватний вищий навчальний заклад ""Українсько-американський гуманітарний інститут ""Вісконсинський Міжнародний Університет (США) в Україні""",111,190.666666666667,160,147,37,0,4,,"http://www.wiuu.edu.ua",22113,,,,"203",203,"м. Київ"
"Приватний вищий навчальний заклад ""Університет економіки і підприємництва""",112,124.333333333333,116.5,24,4,0,6,,"https://www.uniep.km.ua",8800,,,,"248",248,"Хмельницька область"
"Приватний вищий навчальний заклад ""Університет сучасних знань""",106.666666666667,167.333333333333,135.3,150,20,0,7,,"http://usz.1gb.ua",10900,,,,"125, 126",125,"м. Київ"
"Приватний вищий навчальний заклад ""Харківський соціально-економічний інститут""",0,0,0,55,0,0,0,,,,,,,,500,"Харківська область"
"Приватний вищий навчальний заклад ""Херсонський економічно - правовий інститут""",0,0,0,58,0,0,0,,"http://www.hepi.edu.ua",8352,,,,"242",242,"Херсонська область"
"Приватний вищий навчальний заклад «Буковинський університет»",109.666666666667,164.333333333333,131.8,114,13,0,8,,"http://www.bukuniver.edu.ua",8750,,,,"204",204,"Чернівецька область"
"Приватний вищий навчальний заклад «Хмельницький економічний університет»",123.333333333333,173,146.7,94,3,0,31,,"https://www.kheu.km.ua",,,,,"253",253,"Хмельницька область"
"Приватний вищий навчальний заклад Івано-Франківський університет права імені Короля Данила Галицького",105.5,190,139.9,844,128,0,6,,"http://iful.edu.ua",12110,,681,3544,"247",247,"Івано-Франківська область"
"Приватний вищий навчальний заклад Міжнародний університет бізнесу і права",112.333333333333,115.666666666667,114.3,45,3,0,15,,"http://www.mubip.com",,,,,"237",237,"Херсонська область"
"Приватний вищий навчальний заклад Університет новітніх технологій",142.666666666667,142.666666666667,142.7,37,1,0,37,,"http://www.unt.kiev.ua",11400,,,,"272",272,"м. Київ"
"Приватний вищий навчальний заклад Харківський гуманітарний університет ""Народна українська академія""",107.333333333333,179.333333333333,145.7,290,56,0,5,,"http://www.nua.kharkov.ua",16800,,,,"157",157,"Харківська область"
"Приватний заклад",127.333333333333,128.666666666667,128,12,2,0,6,,,,,,,,500,"Херсонська область"
"Приватний заклад “Харківський гуманітарно-екологічний інститут”",0,0,0,17,0,0,0,,"http://ecosoc.kharkov.ua",8000,,,,"275",275,"Харківська область"
"Придунайська філія  Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",114,141.666666666667,124.9,31,12,0,2,,"http://maup.in.ua/",7333,,,,,500,"Одеська область"
"Прикарпатський інститут імені Михайла Грушевського Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",104.333333333333,153.666666666667,124.6,11,6,0,1,,"http://pi-maup.lviv.ua",13450,,,,,500,"Львівська область"
"Рівненська філія Приватного вищого навчального закладу ""Європейський університет""",105.333333333333,105.333333333333,105.3,12,1,0,12,,"http://rivne.e-u.in.ua/",8000,,,,,500,"Рівненська область"
"Рівненський державний гуманітарний університет",102,193,143.8,5838,687,331,8,17,"http://www.rshu.edu.ua/",13882,,,,"164",164,"Рівненська область"
"Рівненський інститут Вищого навчального закладу ""Відкритий міжнародний університет розвитку людини ""Україна""",0,0,0,25,0,0,0,,"rv.vmurol.com.ua",7400,,,,,500,"Рівненська область"
"Рівненський інститут Київського університету права Національної академії наук України",113,161,140.3,47,12,0,3,,"rivne.kul.kiev.ua",13500,,,,,500,"Рівненська область"
"Самбірська філія Тернопільського національного економічного університету",0,0,0,1,0,0,0,,"http://sambir.tneu.edu.ua/",,,,,,500,"Львівська область"
"Свалявська філія Тернопільського національного економічного університету",0,0,0,3,0,0,0,,"http://www.tneu.edu.ua/svalyavskiy-nkc/",,,,,,500,"Закарпатська область"
"Сєвєродонецький інститут Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",109,127.666666666667,118.3,14,2,0,7,,"http://sd.maup.com.ua/",7066,,,,,500,"Луганська область"
