"univ","scopus_public","scopus_qoutes","from","to","mean","link","price","year","rate_place","rate_sort","region","amountOfBudget","AmountOfBacalavr","total_apps","total_per_place","budg_per_place","QtoP","totalStudents","scopus_per_student","ranking_2017","ranking_2011","rank4"
"Приватна установа ""Вищий навчальний заклад ""Міжнародний гуманітарно-педагогічний інститут ""Бейт-Хана""",,,142.333333333333,175.333333333333,154.1,"http://www.betha.org.ua",,,"259",259,"Дніпропетровська область",,23,35,2,,0,23,,43,,
"Приватне акціонерне товариство ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",17,31,101,182,131.3,"http://maup.com.ua",13800,,"152, 153",152,"м. Київ",,1018,2097,2,,1.8,1913,8.88656560376372,280,287,7
"Приватне акціонерне товариство ""Вищий навчальний заклад ""Національна академія управління""",,,103.666666666667,164,133.3,"http://nam.kiev.ua/",11984,,"142",142,"м. Київ",,33,290,9,,0,78,,256,211,-45
"Приватне акціонерне товариство ""Приватний вищий навчальний заклад ""Запорізький інститут економіки та інформаційних технологій""",,,112.666666666667,179.666666666667,143.9,"http://www.econom.zp.ua",11638,,"287",287,"Запорізька область",,79,327,4,,0,202,,119,135,16
"Приватне акціонерне товариство «Українсько-Польський вищий навчальний заклад ""Центрально-Європейський університет»",,,108.333333333333,183,142.1,"https://www.c-e-u.info",12475,,,500,"м. Київ",,69,184,3,,0,141,,139,,
"Приватний вищий навчальний заклад ""Академія рекреаційних технологій і права""",,,101,155,127.5,"http://www.artip.lutsk.ua",,,"273",273,"Волинська область",,157,337,2,,0,230,,317,,
"Приватний вищий навчальний заклад ""Бориспільський інститут муніципального менеджменту при Міжрегіональній Академії управління персоналом""",,,119,129.333333333333,124.6,"http://bor.maup.com.ua/",8133,,,500,"Київська область",,17,17,1,,0,17,,337,427,90
"Приватний вищий навчальний заклад ""Вінницький інститут конструювання одягу і підприємництва""",,,113,113,113,"http://vikop.org.ua",7800,,"285",285,"Вінницька область",,27,38,1,,0,41,,359,,
"Приватний вищий навчальний заклад ""Вінницький фінансово-економічний університет""",,,105.333333333333,151.666666666667,127.9,"http://vfeu.edu.ua",,,,500,"Вінницька область",,20,190,10,,0,40,,311,293,-18
"Приватний вищий навчальний заклад ""Галицька Академія""",,,,,,,,,,,,,18,21,1,,0,24,,393,259,-134
"Приватний вищий навчальний заклад ""Донецький університет економіки та права""",,,117.333333333333,175,140.8,"http://donuep.edu.ua",13900,,"261, 262",261,"Донецька область",,29,48,2,,0,72,,159,298,139
"Приватний вищий навчальний заклад ""Європейський університет""",,,105,182,129.3,"https://e-u.in.ua/",8000,,"125, 126",125,"м. Київ",,248,790,3,,0,510,,294,333,39
"Приватний вищий навчальний заклад ""Інститут ділового адміністрування""",,,0,0,0,"http://ida.in.ua/",8800,2016,"281, 282",281,"Дніпропетровська область",,2,34,17,,0,2,,394,,
"Приватний вищий навчальний заклад ""Інститут екології економіки і права""",,,121,144.666666666667,133.3,"https://ieep.org.ua",7900,,"268",268,"м. Київ",,5,181,36,,0,5,,255,303,48
"Приватний вищий навчальний заклад ""Київський інститут бізнесу та технологій"" Товариство з обмеженою відповідальністю",,,105.333333333333,160.666666666667,128.9,"http://kibit.edu.ua",23400,,,500,"м. Київ",,91,421,5,,0,91,,300,342,42
"ПРИВАТНИЙ ВИЩИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""КИЇВСЬКИЙ МЕДИЧНИЙ УНІВЕРСИТЕТ""",-1,-27,103,183,144.032051282051,"http://kmu.edu.ua/",24700,,,,"м. Київ",,208,1678,8.06730769230769,,27,208,-4.80769230769231,115,126,11
"Приватний вищий навчальний заклад ""Київський університет культури""",,,102.5,190,137.1,"http://kuk-university.com/",,,,500,"м. Київ",,1058,3240,3,,0,1058,,204,,
"Приватний вищий навчальний заклад ""Комп`ютерна Академія ""Шаг""",,,108.333333333333,182,149.6,"https://high.itstep.org/",35000,,,500,"Львівська область",,37,37,1,,0,37,,60,,
"Приватний вищий навчальний заклад ""Кропивницький інститут державного та муніципального управління""",,,107.333333333333,163.666666666667,125.1,"http://kidmu.com.ua",10000,,,500,"Кіровоградська область",,41,84,2,,0,41,,331,,
"Приватний вищий навчальний заклад ""Львівський університет бізнесу та права""",2,1,108.666666666667,155.666666666667,129.1,"http://lubp.com.ua",15900,,"246",246,"Львівська область",,50,537,11,,0.5,111,18.018018018018,298,235,-63
"Приватний вищий навчальний заклад ""Макіївський економіко-гуманітарний інститут""",,,,,,,,,,,,,7,7,1,,0,24,,395,328,-67
"Приватний вищий навчальний заклад ""Медико-природничий університет""",,,111.333333333333,121,117.4,"http://vnz-mpu.com.ua",12000,,,500,"Миколаївська область",,7,16,2,,0,7,,351,,
"Приватний вищий навчальний заклад ""Мистецький інститут художнього моделювання та дизайну імені Сальвадора Далі""",,,112.333333333333,169,135.8,"http://mixmd.edu.ua",19470,,"233",233,"м. Київ",,59,155,3,,0,59,,226,331,105
"Приватний вищий навчальний заклад ""Міжнародна академія екології та медицини""",,,144,151.666666666667,147.555555555556,"http://maem.in.ua/ru",21250,2015,,,"м. Київ",,3,146,48.6666666666667,,,3,,76,236,160
