"univ","scopus_public","scopus_qoutes","from","to","mean","link","price","year","rate_place","rate_sort","region","amountOfBudget","AmountOfBacalavr","total_apps","total_per_place","budg_per_place","QtoP","totalStudents","scopus_per_student","ranking_2017","ranking_2011","rank4"
"Херсонський національний технічний університет",,,105.333333333333,191.666666666667,144.1,"http://kntu.net.ua",10800,,"111, 112",111,"Херсонська область",198,530,2558,5,13,0,1168,,114,140,26
"Херсонський політехнічний коледж Одеського національного політехнічного університету",,,0,0,0,"http://college.ks.ua",,,,500,"Херсонська область",,5,50,10,,0,5,,406,,
"Хмельницька гуманітарно-педагогічна академія",,,104.333333333333,188,142,"http://kgpa.km.ua",20625,,"212, 213",212,"Хмельницька область",219,336,340,1,2,0,506,,141,313,172
"Хмельницький інститут імені Блаженнішого Володимира, Митрополита Київського і всієї України Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",,,105.333333333333,134,119.8,"http://www.maup.km.ua",9525,,,500,"Хмельницька область",,29,119,4,,0,29,,346,,
"Хмельницький інститут соціальних технологій вищого навчального закладу ""Відкритий міжнародний університет розвитку людини ""Україна""",,,106,169.666666666667,128.5,"http://www.hist.km.ua",10333,,"176",176,"Хмельницька область",,47,314,7,,0,69,,306,337,31
"Хмельницький кооперативний торговельно-економічний інститут",,,108.333333333333,168.333333333333,128.7,"http://www.xktei.km.ua",,,"260",260,"Хмельницька область",,247,690,3,,0,329,,301,278,-23
"Хмельницький національний університет",46,197,101,190.666666666667,140.3,"http://prk.khnu.km.ua",11857,,"29",29,"Хмельницька область",446,1592,7565,5,17,4.3,2658,17.306245297216,167,124,-43
"Хмельницький університет управління та права",,,108.666666666667,191.333333333333,147,"http://www.univer.km.ua",15026,,"150, 151",150,"Хмельницька область",45,217,889,4,20,0,321,,83,53,-30
"Центральноукраїнський державний педагогічний університет імені Володимира Винниченка (Кіровоградський державний педагогічний університет імені Володимира Винниченка)",0,7,101,194.666666666667,144.6,"http://www.kspu.kr.ua/",12886,,"92",92,"Кіровоградська область",360,857,3256,4,9,-1,1408,0,111,133,22
"Центральноукраїнський національний технічний університет",41,34,101.333333333333,190.333333333333,137.6,"http://www.kntu.kr.ua",11500,,"84",84,"Кіровоградська область",370,718,2788,4,8,0.8,1265,32.4110671936759,197,199,2
"Черкаська медична академія",,,115.666666666667,171.333333333333,146,"http://medcollege.ck.ua",,,,500,"Черкаська область",85,175,309,2,4,0,196,,93,,
"Черкаська філія Приватного вищого навчального закладу ""Європейський університет""",,,130.666666666667,143.333333333333,138.9,"http://cherkasi.e-u.in.ua",,,,500,"Черкаська область",,65,88,1,,0,65,,182,,
"Черкаський державний технологічний університет",11,6,104.333333333333,194.333333333333,143.9,"https://chdtu.edu.ua",11300,,"129",129,"Черкаська область",339,764,3539,5,10,0.5,1536,7.16145833333333,118,119,1
"Черкаський інститут пожежної безпеки імені Героїв Чорнобиля Національного університету цивільного захисту України",,,102.5,171,129.7,"http://fire.ck.ua",9150,,,500,"Черкаська область",108,184,635,3,6,0,224,,292,314,22
"Черкаський навчально-науковий інститут Державного вищого навчального закладу «Університет банківської справи»",,,117,184.333333333333,148.8,"https://cibs.ubs.edu.ua",12291,,,500,"Черкаська область",21,58,331,6,16,0,158,,68,35,-33
"Черкаський національний університет імені Богдана Хмельницького",0,221,103.5,193,147,"https://www.cdu.edu.ua",14059,,"39, 40",39,"Черкаська область",382,1179,6252,5,16,-1,1961,0,82,69,-13
"Чернівецький національний університет імені Юрія Федьковича",236,1952,100.5,197,151.9,"http://vstup.chnu.edu.ua",14803,,"9",9,"Чернівецька область",1064,3326,19944,6,19,8.3,5486,43.018592781626,53,58,5
"Чернівецький торговельно - економічний інститут Київського національного торговельно - економічного університету",,,101.333333333333,188,140.7,"http://www.chtei-knteu.cv.ua",11992,,,500,"Чернівецька область",65,535,1935,4,30,0,836,,161,109,-52
"Чернівецький факультет Національного технічного університету «Харківський політехнічний інститут»",,,103.666666666667,159,127.6,"http://www.kpi.kharkov.ua/ukr/faculty/chernivetskij/",9900,,,500,"Чернівецька область",8,69,179,3,22,0,69,,316,,
"Чернігівський інститут імені Героїв Крут Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",,,116,166,135.7,"http://maupchern.pp.ua",9950,,,500,"Чернігівська область",,9,40,4,,0,9,,227,,
"Чернігівський інститут інформації, бізнесу і права Приватного вищого навчального закладу «Міжнародний науково-технічний університет імені академіка Юрія Бугая»",,,106.666666666667,162,132.8,"istu.edu.ua/abiturijentu/vartist-vchannja/chernigivskii-institut-informaciji-biznesu-i-prava-pvnz-mntu/",8100,,,500,"Чернігівська область",,10,87,9,,0,10,,264,,
"Чернігівський національний педагогічний університет імені Т.Г. Шевченка",,,100.5,197.333333333333,143.2,"http://chnpu.edu.ua",,,"170",170,"Чернігівська область",368,654,2795,4,8,0,1200,,126,106,-20
"Чернігівський національний технологічний університет",54,165,102.333333333333,193.333333333333,145.2,"http://www.stu.cn.ua",,,"60, 61",60,"Чернігівська область",406,1320,5651,4,14,3.1,2365,22.8329809725159,104,70,-34
"Чорноморський національний університет імені Петра Могили",29,50,100,192,147.4,"https://chmnu.edu.ua",,,"121",121,"Миколаївська область",248,867,3965,5,16,1.7,1426,20.3366058906031,78,61,-17
"Чортківський навчально-науковий інститут підприємництва і бізнесу Тернопільського національного економічного університету",,,111.666666666667,138.666666666667,124.7,"http://chnnipb.tneu.edu.ua/",,,,500,"Тернопільська область",5,71,127,2,25,0,120,,334,,
"Шосткинський інститут Сумського державного університету",,,105,173.333333333333,132.5,"http://shinst.sumdu.edu.ua",,,,500,"Сумська область",27,40,222,6,8,0,61,,267,,
"Яготинський інститут Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",,,112.333333333333,187.333333333333,126,"http://yagotin.maup.com.ua/",,,,500,"Київська область",,25,29,1,,0,25,,325,,
