"univ","scopus_public","scopus_qoutes","from","to","mean","link","price","year","rate_place","rate_sort","region","amountOfBudget","AmountOfBacalavr","total_apps","total_per_place","budg_per_place","QtoP","totalStudents","scopus_per_student"
"Київський національний університет театру, кіно і телебачення імені І.К. Карпенка-Карого",,,106,195,158,"http://knutkt.com.ua",24646,,"194",194,"м. Київ",132,288,361,1,3,0,456,
"Київський національний університет технологій та дизайну",55,246,100.333333333333,193,144.8,"http://knutd.edu.ua",13143,,"26",26,"м. Київ",449,1346,6685,5,15,4.5,2243,24.5207311636202
"Київський університет імені Бориса Грінченка",7,8,100,196.5,156.9,"http://kubg.edu.ua",16732,,"72",72,"м. Київ",511,1634,12720,8,25,1.1,2430,2.88065843621399
"Київський університет права Національної академії наук України",,,106.333333333333,178.666666666667,143.9,"http://kul.kiev.ua",19900,,"166, 167",166,"м. Київ",,187,955,5,,0,213,
"Київський університет туризму, економіки і права",,,103.666666666667,165,125.4,"http://www.kutep.ua",17400,,"201",201,"м. Київ",,269,2005,7,,0,350,
"Кіровоградський інститут комерції",,,127,128.666666666667,127.8,"http://www.kik.kr.ua/",,,"226",226,"Кіровоградська область",,2,52,26,,0,2,
"Кіровоградський інститут Приватного акціонерного товариства «Вищий навчальний заклад «Міжрегіональна Академія управління персоналом»",,,108.333333333333,137.666666666667,123.1,"http://maupkirovograd.com.ua",6510,,,500,"Кіровоградська область",,10,30,3,,0,10,
"Кіровоградський інститут розвитку людини вищого навчального закладу Відкритий міжнародний університет розвитку людини «Україна»",,,104.666666666667,164,129.2,"http://vmurol.kr.ua",6750,,,500,"Кіровоградська область",,58,167,3,,0,58,
"Коледж економіки і технологій Чернігівського національного технологічного університету",,,0,0,0,"http://ket.stu.cn.ua/",,,,500,"Чернігівська область",,12,30,2,,0,12,
"Коледж Кременчуцького національного університету імені Михайла Остроградського",,,,,,,,,,,,,30,36,1,,0,30,
"Коледж Національного фармацевтичного університету",,,106.666666666667,171,137.8,"http://college.nuph.edu.ua",13980,,,500,"Харківська область",,41,70,2,,0,41,
"Коломийський навчально-науковий інститут Прикарпатського національного університету імені Василя Стефаника",,,104,179.333333333333,133,"http://www.pu.if.ua/depart/Kolomiya/ua/",10233,,,500,"Івано-Франківська область",2,126,188,1,94,0,126,
"Комунальний вищий навчальний заклад «Вінницька академія неперервної освіти»",,,0,0,0,"http://academia.vinnica.ua",,,"199, 200",199,"Вінницька область",,14,43,3,,0,129,
"Комунальний вищий навчальний заклад «Житомирський інститут медсестринства"" Житомирської обласної ради",,,106.333333333333,167,139.3,"http://www.zhim.org.ua",,,"267",267,"Житомирська область",47,122,374,3,8,0,140,
"Комунальний вищий навчальний заклад «Хортицька національна навчально-реабілітаційна академія» Запорізької обласної ради",,,103.5,173,140.6,"http://khnnra.com.ua",5500,,,500,"Запорізька область",137,175,418,2,3,0,243,
"Комунальний заклад «Харківська гуманітарно-педагогічна академія"" Харківської обласної ради",,,103,182,139.6,"http://hgpa.kharkov.com",15704,,"261, 262",261,"Харківська область",352,471,1137,2,3,0,689,
"Конотопський інститут Сумського державного університету",,,114,163.333333333333,136.3,"http://ki.sumdu.edu.ua/abturyentu/",12200,,,500,"Сумська область",26,76,192,3,7,0,76,
"Косівський інститут прикладного та декоративного мистецтва Львівської національної академії мистецтв",,,105.5,189.5,138.8,"http://kipdm.com",16966,,,500,"Івано-Франківська область",51,67,152,2,3,0,94,
"Кременецька обласна гуманітарно-педагогічна академія ім. Тараса Шевченка",,,100.5,177.333333333333,136.7,"http://www.kogpi.edu.te.ua/",10870,,"209",209,"Тернопільська область",177,410,971,2,5,0,646,
"Кременчуцька філія Глухівського національного педагогічного університету імені Олександра Довженка",,,,,,,,,,,,,48,48,1,,0,48,
"Кременчуцький льотний коледж Національного авіаційного університету",,,0,0,0,"http://www.flightcollege.com.ua",18108,,,500,"Полтавська область",,37,43,1,,0,37,
"Кременчуцький національний університет імені Михайла Остроградського",51,156,101,197,138.3,"http://www.kdu.edu.ua/",8370,,"41",41,"Полтавська область",260,896,2698,3,10,3.1,1690,30.1775147928994
"Криворізька філія Приватного вищого навчального закладу «Європейський університет»",,,109.333333333333,146,127.7,"http://krivrig.e-u.in.ua/index.php",8000,,,500,"Дніпропетровська область",,15,32,2,,0,15,
"Криворізький економічний інститут Державного вищого навчального закладу «Київський національний економічний університет імені Вадима Гетьмана»",,,102.333333333333,189.666666666667,141.7,"http://www.kneu.dp.ua/",12616,,,500,"Дніпропетровська область",34,224,1247,6,37,0,407,
"Криворізький коледж Національного авіаційного університету",,,,,,,,,,,,10,87,218,3,22,0,87,
"Криворізький металургійний інститут Національної металургійної академії України",,,107.666666666667,162.666666666667,132.2,"https://nmetau.edu.ua",8800,,,500,"Дніпропетровська область",21,165,361,2,17,0,243,
"Криворізький факультет Запорізького національного університету",,,105.333333333333,164.333333333333,136.5,"http://kfznu.com/",,,,500,"Дніпропетровська область",,36,37,1,,0,36,
"Кропивницький інститут приватного вищого навчального закладу «Університет сучасних знань»",,,112.666666666667,177,131.8,"http://kkusz.kr.ua/",,,,500,"Кіровоградська область",,85,111,1,,0,99,
"Луганська державна академія культури і мистецтв",,,104,182,136.9,"https://lgaki.com.ua/",,,,500,"м. Київ",23,43,54,1,2,0,85,
"Луганський державний університет внутрішніх справ імені Е.О. Дідоренка",,,103.5,155.5,119.7,"http://lduvs.edu.ua",13940,,"241",241,"Луганська область",,58,170,3,,0,58,
"Луганський національний аграрний університет",,,105.666666666667,163.666666666667,131.4,"http://lu.in.ua",12000,,"182",182,"Харківська область",452,591,1028,2,2,0,933,
"Луцька філія Тернопільського національного економічного університету",,,127.333333333333,127.333333333333,127.3,"http://www.tneu.edu.ua/lutskiy-nkc/",,,,500,"Волинська область",,46,81,2,,0,46,
"Луцький біотехнічний інститут Приватного вищого навчального закладу «Міжнародний науково-технічний університет імені академіка Юрія Бугая»",,,122.666666666667,131.666666666667,126.2,"http://lbi.lutsk.ua",,,,500,"Волинська область",,3,22,7,,0,3,
"Луцький інститут розвитку людини Вищого навчального закладу «Відкритий міжнародний університет розвитку людини «Україна»",,,111.333333333333,167.333333333333,127.9,"http://lutsk.vmurol.com.ua",11250,,,500,"Волинська область",,31,355,11,,0,61,
"Луцький національний технічний університет",38,64,101.333333333333,188.5,142.8,"http://lutsk-ntu.com.ua",12900,,"67",67,"Волинська область",674,1341,6222,5,9,1.7,2154,17.6415970287837
"Львівська національна академія мистецтв",,,109,196.5,158.9,"https://lm.edu.ua/uk/",,,"185",185,"Львівська область",105,217,433,2,4,0,378,
"Львівська національна музична академія імені М.В.Лисенка",,,111,193,150.7,"http://conservatory.lviv.ua",42178,2015,"152, 153",152,"Львівська область",104,141,163,1,2,0,216,
"Львівська філія Дніпропетровського національного університету залізничного транспорту імені академіка В. Лазаряна",,,101,163.333333333333,131.8,"http://lf.diit.edu.ua/",9125,2016,,500,"Львівська область",28,159,355,2,13,0,159,
"Львівська філія Національного університету харчових технологій",,,,,,,,,,,,,65,69,1,,0,65,
"Львівська філія Приватного вищого навчального закладу «Європейський університет»",,,110.333333333333,172.666666666667,143,"http://lviv.e-u.in.ua",9000,,,500,"Львівська область",,51,93,2,,0,51,
"Львівський державний університет безпеки життєдіяльності",64,138,100.5,191,141,"http://ldubgd.edu.ua",11207,,"98",98,"Львівська область",143,398,1794,5,13,2.2,545,117.43119266055
"Львівський державний університет внутрішніх справ",,,104.666666666667,184,140.8,"http://www2.lvduvs.edu.ua",11866,,"191",191,"Львівська область",,509,614,1,,0,644,
"Львівський державний університет фізичної культури",28,42,102.5,189.333333333333,143.1,"www.ldufk.edu.ua",10500,,"104, 105, 106",104,"Львівська область",269,622,637,1,2,1.5,915,30.6010928961749
"Львівський інститут економіки і туризму",,,118,185,147.2,"http://www.liet.lviv.ua",9000,,"283",283,"Львівська область",5,112,1643,15,329,0,274,
"Львівський інститут Приватного акціонерного товариства «Вищий навчальний заклад «Міжрегіональна Академія управління персоналом»",,,116.333333333333,149.666666666667,131,"http://li-maup.edu.lviv.ua",8100,,,500,"Львівська область",,35,145,4,,0,40,
"Львівський навчально-науковий інститут Державного вищого навчального закладу «Університет банківської справи»",,,117.333333333333,180.666666666667,149.2,"http://www.ubs.edu.ua",13000,,,500,"Львівська область",16,68,694,10,43,0,254,
"Львівський національний аграрний університет",,,100.333333333333,189.5,136,"http://lu.lviv.ua",10216,,"175",175,"Львівська область",353,975,3539,4,10,0,1843,
"Львівський національний університет ветеринарної медицини та біотехнологій  імені С.З. Гжицького",23,215,102.333333333333,189.333333333333,142.7,"http://lvet.edu.ua/",9000,,"122, 123",122,"Львівська область",277,494,2095,4,8,9.3,1166,19.7255574614065
"Львівський національний університет імені Івана Франка",465,4185,102.333333333333,199,166.4,"http://admission.lnu.edu.ua",13456,,"4",4,"Львівська область",1680,4176,38360,9,23,9,6513,71.3956701980654
"Львівський регіональний інститут державного управління Національної академії державного управління при Президентові України",,,114,142.333333333333,128.2,"http://www.lvivacademy.com/",12400,,,500,"Львівська область",,2,66,33,,0,2,
"Львівський техніко-економічний коледж Національного університету «Львівська політехніка»",,,,,,,,,,,,,60,105,2,,0,60,
"Львівський торговельно-економічний університет",5,26,106.333333333333,184.333333333333,139.7,"http://www.lute.lviv.ua",10248,,"101",101,"Львівська область",,797,905,1,,5.2,1125,4.44444444444444
"Маріупольський державний університет",6,11,103,185,140.9,"http://mdu.in.ua",9281,,"116",116,"Донецька область",191,658,785,1,4,1.8,1054,5.69259962049336
"Маріупольський інститут Приватного акціонерного товариства «Вищий навчальний заклад «Міжрегіональна Академія управління персоналом»",,,113.333333333333,125.666666666667,121.1,"http://mariupol.maup.com.ua",,,,500,"Донецька область",,19,30,2,,0,39,
"Мелітопольський державний педагогічний університет імені Богдана Хмельницького",,,106.666666666667,191.666666666667,137.2,"http://www.abitur.mdpu.org.ua",7960,,"130, 131",130,"Запорізька область",292,704,2426,3,8,0,1017,
"Мелітопольський інститут екології та соціальних технологій вищого навчального закладу «Відкритий міжнародний університет розвитку людини «Україна»",,,112.666666666667,141.666666666667,120.9,"http://www.miest.org.ua",8000,,,500,"Запорізька область",,12,61,5,,0,31,
"Миколаївський міжрегіональний інститут розвитку людини Вищого навчального закладу «Відкритий міжнародний університет розвитку людини «Україна»",,,104,157.666666666667,126.4,"http://mmirl.edu.ua/",6900,,,500,"Миколаївська область",,76,260,3,,0,172,
"Миколаївський національний аграрний університет",,,102.666666666667,189,132,"https://www.mu.edu.ua",7290,,"87",87,"Миколаївська область",197,846,2358,3,12,0,1203,
"Миколаївський національний університет імені В.О. Сухомлинського",,,100.5,184,134.5,"http://mdu.edu.ua",7761,,"147, 148",147,"Миколаївська область",277,879,3697,4,13,0,1504,
"Міжнародний гуманітарний університет",48,13,102,182.666666666667,138.6,"http://mgu.edu.ua",11150,,"196",196,"Одеська область",,539,2027,4,,0.3,876,54.7945205479452
"Мукачівський державний університет",5,5,102,187,133.5,"http://msu.edu.ua",10300,,"171",171,"Закарпатська область",96,495,1747,4,18,1,792,6.31313131313131
"Навчально-науковий професійно-педагогічний інститут Української інженерно- педагогічної академії ( м.Бахмут)",,,104.333333333333,167.333333333333,128.7,"http://www.nnppi.in.ua",9178,,,500,"Донецька область",18,163,290,2,16,0,304,
"Надслучанський інститут Національного університету водного господарства та природокористування",,,119.666666666667,141,133.6,"http://nuwm.edu.ua/vidokremleni-strukturni-pidrozdili/dsluchansjkij-institut",9500,,,500,"Рівненська область",13,49,128,3,10,0,49,
"Національнa академія Служби безпеки України",7,62,109.333333333333,175.333333333333,143.1,"http://academy.ssu.gov.ua",16700,,"222, 223",222,"м. Київ",,108,591,5,,8.9,134,52.2388059701493
"Національна академія внутрішніх справ",,,101,181.333333333333,136.5,"https://www.iau.kiev.ua",18300,,"163",163,"м. Київ",,623,2139,3,,0,623,
"Національна академія керівних кадрів культури і мистецтв",,,103.5,195,141.1,"http://kkkim.edu.ua/",14500,,"120",120,"м. Київ",25,374,668,2,27,0,644,
"Національна академія Національної гвардії України",,,121.333333333333,176.333333333333,153.2,"http://ngu.edu.ua/?m=201708",,,"205",205,"Харківська область",,16,125,8,,0,48,
"Національна академія образотворчого мистецтва і архітектури",,,118.5,194,160.5,"http://oma.edu.ua",28073,,"168",168,"м. Київ",106,176,285,2,3,0,249,
"Національна академія статистики, обліку та аудиту",,,101.333333333333,170,130.2,"http://soa.edu.ua/",11000,,"195",195,"м. Київ",,179,523,3,,0,363,
"Національна металургійна академія України",32,134,100.666666666667,188.333333333333,136.2,"https://nmetau.edu.ua",,,"24",24,"Дніпропетровська область",330,956,3905,4,12,4.2,1985,16.1209068010076
"Національна музична академія України імені П.І. Чайковського",,,105.5,195,151.8,"http://knmau.com.ua/",23400,,"133, 134",133,"м. Київ",156,156,225,1,1,0,252,
"Національний авіаційний університет",299,626,104.333333333333,194,155.8,"http://u.edu.ua",19406,,"14",14,"м. Київ",1260,2898,27133,9,22,2.1,4636,64.495254529767
"Національний аерокосмічний університет ім. М. Є. Жуковського «Харківський авіаційний інститут»",133,919,106,197.333333333333,150.7,"https://www.khai.edu",11484,,"13",13,"Харківська область",634,1017,7561,7,12,6.9,1683,79.0255496137849
"Національний медичний університет імені О.О. Богомольця",81,536,116.666666666667,169,140,"http://nmu.ua",23981,,"25",25,"м. Київ",,18,18,1,,6.6,2185,37.070938215103
"Національний педагогічний університет імені М.П. Драгоманова",11,35,101.666666666667,197,149.2,"http://www.vstup.npu.edu.ua",16729,,"37",37,"м. Київ",671,2190,18354,8,27,3.2,3339,3.29439952081462
"Національний технічний університет «Харківський політехнічний інститут»",260,1524,102.333333333333,194.333333333333,148.8,"http://vstup.kpi.kharkov.ua",9983,,"5",5,"Харківська область",1183,2440,18353,8,16,5.9,4625,56.2162162162162
"Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»",632,2393,110,198,168.3,"http://kpi.ua",23483,,"2-3",2,"м. Київ",3667,4962,38576,8,11,3.8,8100,78.0246913580247
"Національний транспортний університет",22,78,100,189.333333333333,142,"http://www.ntu.edu.ua",12557,,"47",47,"м. Київ",356,1827,8852,5,25,3.5,2879,7.64154220215353
"Національний університет «Києво-Могилянська академія»",84,855,109.666666666667,198.333333333333,177.8,"http://www.ukma.edu.ua",29071,,"12",12,"м. Київ",432,1006,12994,13,30,10.2,1372,61.2244897959184
"Національний університет «Львівська політехніка»",700,2093,112,198.666666666667,163.5,"http://www.lp.edu.ua",13619,,"6",6,"Львівська область",2122,4994,30349,6,14,3,8124,86.164451009355
"Національний університет «Одеська морська академія»",0,-1,104,194,153.4,"http://www.onma.edu.ua",19900,,"114",114,"Одеська область",262,621,2841,5,11,,738,0
"Національний університет «Одеська юридична академія»",1,0,106,195.666666666667,152.8,"http://vstup.onua.edu.ua",18375,,"63",63,"Одеська область",219,1274,6873,5,31,0,2611,0.382995021064726
"Національний університет «Острозька академія»",,,110,197,162.7,"http://www.oa.edu.ua",14212,,"95",95,"Рівненська область",171,602,4224,7,25,0,887,
"Національний університет біоресурсів і природокористування України",92,356,102.666666666667,190.666666666667,149.5,"https://nubip.edu.ua",17329,,"10",10,"м. Київ",1235,2647,13166,5,11,3.9,4629,19.8747029596025
"Національний університет водного господарства та природокористування",109,109,101,194.5,145.6,"http://start.nuwm.edu.ua/",15850,,"66",66,"Рівненська область",737,1417,6319,4,9,1,2532,43.0489731437599
"Національний університет кораблебудування імені адмірала Макарова",28,151,104.666666666667,190.333333333333,140,"http://www.nuos.edu.ua/",,,"75",75,"Миколаївська область",414,581,3140,5,8,5.4,706,39.6600566572238
"Національний університет фізичного виховання і спорту України",10,34,100,190.5,138.1,"http://vstup.uni-sport.edu.ua",13050,,"81",81,"м. Київ",290,938,2403,3,8,3.4,1080,9.25925925925926
"Національний університет харчових технологій",57,233,100,197.333333333333,146.3,"http://nuft.edu.ua",17250,,"19",19,"м. Київ",646,1689,1816,1,3,4.1,3006,18.9620758483034
"Національний університет цивільного захисту України",,,101,177.333333333333,128.6,"http://nuczu.edu.ua/",9900,,"135, 136",135,"Харківська область",,201,1427,7,,0,211,
"Національний фармацевтичний університет",14,73,105.666666666667,185.666666666667,140.6,"http://nuph.edu.ua",9050,,"31",31,"Харківська область",,109,730,7,,5.2,1449,9.66183574879227
"Національний юридичний університет імені Ярослава Мудрого",1,0,103.333333333333,197.333333333333,161,"http://vstup.nlu.edu.ua",18000,,"58",58,"Харківська область",418,1199,8420,7,20,0,1248,0.801282051282051
"Ніжинський державний університет імені Миколи Гоголя",,,105.666666666667,191,145.4,"http://www.ndu.edu.ua/",13127,,"158, 159",158,"Чернігівська область",193,425,2183,5,11,0,813,
"Нікопольська філія Приватного вищого навчального закладу «Європейський університет»",,,139.333333333333,139.333333333333,139.3,"http://nikopol.e-u.in.ua/",,,,500,"Дніпропетровська область",,3,6,2,,0,3,
"Нікопольський факультет Національної металургійної академії України",,,122.666666666667,160.666666666667,138.8,"https://nmetau.edu.ua/ua/mfac/i2061/p0",6990,,,500,"Дніпропетровська область",,129,135,1,,0,129,
"Нововолинський навчально - науковий інститут економіки та менеджменту Тернопільського національного економічного університету",,,114,171.666666666667,138.4,"http://nnniem.tneu.edu.ua/",,,,500,"Волинська область",4,44,74,2,18,0,44,
"Новокаховський гуманітарний інститут  вищого навчального закладу «Відкритий міжнародний університет розвитку людини «Україна»",,,110.333333333333,162.333333333333,129.6,"http://vmurol.net.ua/",6200,,,500,"Херсонська область",,37,82,2,,0,107,
"Одеська державна академія будівництва та архітектури",18,57,102,194.5,147.5,"http://www.ogasa.org.ua",12419,,"96",96,"Одеська область",316,554,1427,3,5,3.2,1116,16.1290322580645
"Одеська національна академія зв'язку ім. О.С. Попова",18,19,105,185.666666666667,143.5,"https://pk.ot.edu.ua",10645,,"82",82,"Одеська область",151,508,2113,4,14,1.1,850,21.1764705882353
"Одеська національна академія харчових технологій",39,50,102,188,140.4,"https://www.oft.edu.ua/",11085,,"56",56,"Одеська область",307,1291,6567,5,21,1.3,2054,18.9873417721519
"Одеська національна музична академія імені А.В. Нежданової",,,106,171,133.1,"http://odma.edu.ua",12000,,"166, 167",166,"Одеська область",13,67,145,2,11,0,110,
"Одеський автомобільно - дорожній коледж Одеського національного політехнічного університету",,,,,,,,,,,,,20,23,1,,0,20,
"Одеський державний аграрний університет",,,102,193.666666666667,136.4,"http://osau.edu.ua",,,"207",207,"Одеська область",91,330,1584,5,17,0,737,
"Одеський державний екологічний університет",7,30,106.666666666667,189,134.8,"http://odeku.edu.ua",10586,,"78, 79",78,"Одеська область",89,144,1339,9,15,4.3,144,48.6111111111111
"Одеський державний університет внутрішніх справ",,,100.5,176,129.1,"http://oduvs.edu.ua",17872,,"224",224,"Одеська область",,552,1242,2,,0,582,
"Одеський інститут Приватного акціонерного товариства «Вищий навчальний заклад «Міжрегіональна Академія управління персоналом»",,,104.666666666667,133.666666666667,116,"http://odessa.maup.com.ua/",10908,,,500,"Одеська область",,25,80,3,,0,25,
"Одеський національний економічний університет",,,103,194.333333333333,150.8,"http://oneu.edu.ua",13395,,"111, 112",111,"Одеська область",100,572,4008,7,40,0,1151,
"Одеський національний медичний університет",1,191,101.666666666667,167.666666666667,133.5,"http://onmedu.edu.ua",20380,,"69",69,"Одеська область",,30,250,8,,191,986,1.01419878296146
"Одеський національний морський університет",12,30,103.666666666667,195.666666666667,143.6,"http://www.osmu.odessa.ua",13900,,"104, 105, 106",104,"Одеська область",181,897,4585,5,25,2.5,897,13.3779264214047
"Одеський національний політехнічний університет",68,204,103.666666666667,194,151.1,"http://opu.ua/",17156,,"22",22,"Одеська область",743,1452,11416,8,15,3,2521,26.9734232447441
"Одеський національний університет імені І. І. Мечникова",146,2348,100.666666666667,197,155.3,"http://onu.edu.ua",16244,,"8",8,"Одеська область",294,1211,11172,9,38,16.1,1903,76.7209668943773
"Одеський регіональний інститут державного управління Національної академії державного управління при Президентові України",,,110.333333333333,180.333333333333,140.4,"http://www.oridu.odessa.ua/",11300,,,500,"Одеська область",,48,218,5,,0,50,
"Одеський торговельно-економічний інститут Київського національного торговельно-економічного університету",,,117,168,134.9,"http://www.otei.odessa.ua",14145,,,500,"Одеська область",41,73,171,2,4,0,114,
"Первомайська філія Приватного вищого навчального закладу «Університет сучасних знань»",,,113.333333333333,156,136.2,,,,,500,"Миколаївська область",,32,35,1,,0,32,
"Первомайський політехнічний інститут Національного університету кораблебудування імені адмірала Макарова",,,109.666666666667,144.666666666667,124.7,"http://www.ppi.net.ua/",5500,2016,,500,"Миколаївська область",48,109,220,2,5,0,188,
"Подільський державний аграрно-технічний університет",,,101.666666666667,176.666666666667,133.1,"http://www.pdatu.edu.ua/",,,"150, 151",150,"Хмельницька область",347,731,759,1,2,0,1130,
"Полтавська державна аграрна академія",44,58,100,194.333333333333,136.9,"https://www.pdaa.edu.ua",,,"99",99,"Полтавська область",327,1065,3756,4,11,1.3,2092,21.0325047801147
"Полтавська філія Національного університету харчових технологій",,,,,,,,,,,,,49,61,1,,0,49,
"Полтавський інститут економіки і права вищого навчального закладу Відкритий міжнародний університет розвитку людини «Україна»",,,103.333333333333,170.666666666667,137.3,"http://pl.vmurol.com.ua/",12200,,,500,"Полтавська область",,69,271,4,,0,122,
"Полтавський національний педагогічний університет імені В.Г. Короленка",2,12,102,194,139.9,"pnpu.edu.ua",9993,,"132",132,"Полтавська область",322,1021,4584,4,14,6,2235,0.894854586129754
"Полтавський національний технічний університет імені Юрія Кондратюка",129,202,103.333333333333,193.666666666667,145.4,"http://pntu.edu.ua",10180,,"57",57,"Полтавська область",339,946,3936,4,12,1.6,1804,71.5077605321508
"Полтавський юридичний інститут Національного юридичного університету імені Ярослава Мудрого",,,109,194,154.9,"http://pli.nlu.edu.ua",18100,2016,,500,"Полтавська область",34,202,544,3,16,0,202,
"Приватна установа «Вищий навчальний заклад «Міжнародний гуманітарно-педагогічний інститут «Бейт-Хана»",,,142.333333333333,175.333333333333,154.1,"http://www.betha.org.ua",,,"259",259,"Дніпропетровська область",,23,35,2,,0,23,
"Приватне акціонерне товариство «Вищий навчальний заклад «Міжрегіональна Академія управління персоналом»",17,31,101,182,131.3,"http://maup.com.ua",13800,,"152, 153",152,"м. Київ",,1018,2097,2,,1.8,1913,8.88656560376372
"Приватне акціонерне товариство «Вищий навчальний заклад «Національна академія управління»",,,103.666666666667,164,133.3,"http://nam.kiev.ua/",11984,,"142",142,"м. Київ",,33,290,9,,0,78,
"Приватне акціонерне товариство «Приватний вищий навчальний заклад «Запорізький інститут економіки та інформаційних технологій»",,,112.666666666667,179.666666666667,143.9,"http://www.econom.zp.ua",11638,,"287",287,"Запорізька область",,79,327,4,,0,202,
"Приватне акціонерне товариство «Українсько-Польський вищий навчальний заклад «Центрально-Європейський університет»",,,108.333333333333,183,142.1,"https://www.c-e-u.info",12475,,,500,"м. Київ",,69,184,3,,0,141,
"Приватний вищий навчальний заклад «Академія рекреаційних технологій і права»",,,101,155,127.5,"http://www.artip.lutsk.ua",,,"273",273,"Волинська область",,157,337,2,,0,230,
"Приватний вищий навчальний заклад «Бориспільський інститут муніципального менеджменту при Міжрегіональній Академії управління персоналом»",,,119,129.333333333333,124.6,"http://bor.maup.com.ua/",8133,,,500,"Київська область",,17,17,1,,0,17,
"Приватний вищий навчальний заклад «Вінницький інститут конструювання одягу і підприємництва»",,,113,113,113,"http://vikop.org.ua",7800,,"285",285,"Вінницька область",,27,38,1,,0,41,
"Приватний вищий навчальний заклад «Вінницький фінансово-економічний університет»",,,105.333333333333,151.666666666667,127.9,"http://vfeu.edu.ua",,,,500,"Вінницька область",,20,190,10,,0,40,
"Приватний вищий навчальний заклад «Галицька Академія»",,,,,,,,,,,,,18,21,1,,0,24,
"Приватний вищий навчальний заклад «Донецький університет економіки та права»",,,117.333333333333,175,140.8,"http://donuep.edu.ua",13900,,"261, 262",261,"Донецька область",,29,48,2,,0,72,
"Приватний вищий навчальний заклад «Європейський університет»",,,105,182,129.3,"https://e-u.in.ua/",8000,,"125, 126",125,"м. Київ",,248,790,3,,0,510,
"Приватний вищий навчальний заклад «Інститут ділового адміністрування»",,,0,0,0,"http://ida.in.ua/",8800,2016,"281, 282",281,"Дніпропетровська область",,2,34,17,,0,2,
"Приватний вищий навчальний заклад «Інститут екології економіки і права»",,,121,144.666666666667,133.3,"https://ieep.org.ua",7900,,"268",268,"м. Київ",,5,181,36,,0,5,
"Приватний вищий навчальний заклад «Київський інститут бізнесу та технологій"" Товариство з обмеженою відповідальністю",,,105.333333333333,160.666666666667,128.9,"http://kibit.edu.ua",23400,,,500,"м. Київ",,91,421,5,,0,91,
"Приватний вищий навчальний заклад «Київський університет культури»",,,102.5,190,137.1,"http://kuk-university.com/",,,,500,"м. Київ",,1058,3240,3,,0,1058,
"Приватний вищий навчальний заклад «Комп`ютерна Академія «Шаг»",,,108.333333333333,182,149.6,"https://high.itstep.org/",35000,,,500,"Львівська область",,37,37,1,,0,37,
"Приватний вищий навчальний заклад «Кропивницький інститут державного та муніципального управління»",,,107.333333333333,163.666666666667,125.1,"http://kidmu.com.ua",10000,,,500,"Кіровоградська область",,41,84,2,,0,41,
"Приватний вищий навчальний заклад «Львівський університет бізнесу та права»",2,1,108.666666666667,155.666666666667,129.1,"http://lubp.com.ua",15900,,"246",246,"Львівська область",,50,537,11,,0.5,111,18.018018018018
"Приватний вищий навчальний заклад «Макіївський економіко-гуманітарний інститут»",,,,,,,,,,,,,7,7,1,,0,24,
"Приватний вищий навчальний заклад «Медико-природничий університет»",,,111.333333333333,121,117.4,"http://vnz-mpu.com.ua",12000,,,500,"Миколаївська область",,7,16,2,,0,7,
"Приватний вищий навчальний заклад «Мистецький інститут художнього моделювання та дизайну імені Сальвадора Далі»",,,112.333333333333,169,135.8,"http://mixmd.edu.ua",19470,,"233",233,"м. Київ",,59,155,3,,0,59,
"Приватний вищий навчальний заклад «Міжнародний економіко-гуманітарний університет імені академіка Степана Дем'янчука»",,,101,189.333333333333,128,"http://www.regi.rovno.ua",8691,,"174",174,"Рівненська область",,454,1883,4,,0,776,
"Приватний вищий навчальний заклад «Міжнародний класичний університет імені Пилипа Орлика»",,,104,139.666666666667,119.9,"https://mku.edu.ua",8000,,"269",269,"Миколаївська область",,13,225,17,,0,15,
"Приватний вищий навчальний заклад «Міжнародний науково-технічний університет імені академіка Юрія Бугая»",,,100.333333333333,175.333333333333,128.4,"https://istu.edu.ua/abiturijentu/",13400,,"188, 189",188,"м. Київ",,269,1488,6,,0,443,
"Приватний вищий навчальний заклад «Міжнародний університет фінансів»",,,115.333333333333,161.333333333333,139.8,"http://iuf.edu.ua",16000,,"211",211,"м. Київ",,21,159,8,,0,36,
"Приватний вищий навчальний заклад «Нікопольський економічний університет»",,,111,165.666666666667,131.4,"http://www.neu.edu.ua",9600,,"276",276,"Дніпропетровська область",,19,27,1,,0,26,
"Приватний вищий навчальний заклад «Новокаховський політехнічний інститут»",,,118.333333333333,118.333333333333,118.3,"http://www.nkpi.com.ua",7000,,"284",284,"Херсонська область",,12,17,1,,0,12,
"Приватний вищий навчальний заклад «Тернопільський інститут соціальних та інформаційних технологій»",,,106.333333333333,168.666666666667,135.5,"https://www.tisit.edu.ua",7900,,"231",231,"Тернопільська область",,29,134,5,,0,66,
"Приватний вищий навчальний заклад «Український гуманітарний інститут»",,,101,184.333333333333,141.4,"http://ugi.edu.ua",17055,,"217",217,"Київська область",,39,87,2,,0,39,
"Приватний вищий навчальний заклад «Українсько-американський гуманітарний інститут ""Вісконсинський Міжнародний Університет (США) в Україні»",,,111,190.666666666667,160,"http://www.wiuu.edu.ua",22113,,"203",203,"м. Київ",,39,152,4,,0,39,
"Приватний вищий навчальний заклад «Університет економіки і підприємництва»",,,112,124.333333333333,116.5,"https://www.uniep.km.ua",8800,,"248",248,"Хмельницька область",,7,32,5,,0,16,
