"univ","scopus_public","scopus_qoutes","from","to","mean","link","price","year","rate_place","rate_sort","region","amountOfBudget","AmountOfBacalavr","total_apps","total_per_place","budg_per_place","QtoP","totalStudents","scopus_per_student"
"Відокремлений підрозділ «Миколаївська філія Київського національного університету культури і мистецтв»",,,104.5,185.666666666667,137.6,"http://www.mfknukim.mk.ua/",,,,500,"Миколаївська область",86,243,245,1,3,0,243,
"Відокремлений підрозділ «Миколаївський факультет менеджменту і бізнесу Київського університету культури»",,,102,176.5,127.1,,,,,500,"Миколаївська область",,253,441,2,,0,253,
"Відокремлений підрозділ «Кадіївський педагогічний коледж Луганського національного університету імені Тараса Шевченка»",,,,,,,,,,,,,8,10,1,,0,8,
"Відокремлений підрозділ Національного університету біоресурсів і природокористування України «Бережанський агротехнічний інститут»",,,100,167.333333333333,132.8,"http://www.bati.nubip.edu.ua/index.php/ua/",17165,,,500,"Тернопільська область",66,304,519,2,8,0,529,
"Відокремлений підрозділ Національного університету біоресурсів і природокористування України «Немішаївський агротехнічний коледж»",,,,,,,,,,,,60,87,87,1,1,0,87,
"Відокремлений підрозділ Національного університету біоресурсів і природокористування України «Ніжинський агротехнічний інститут»",,,103.666666666667,170.333333333333,129.9,"http://ti.org.ua/",17165,,,500,"Чернігівська область",59,151,342,2,6,0,243,
"Відокремлений структурний підрозділ «Інститут інноваційної освіти Київського національного університету будівництва і архітектури»",,,144,144,144,"http://www.knuba.edu.ua/",13500,,,500,"м. Київ",,9,697,77,,0,9,
"Відокремлений структурний підрозділ Навчально-науковий інститут підприємництва та перспективних технологій Національного університету «Львівська політехніка»",,,120.333333333333,163.333333333333,142.1,"http://ippt.lp.edu.ua",13692,,,500,"Львівська область",,137,343,3,,0,174,
"Відокремлений структурний підрозділ Національного авіаційного університету «Кіровоградська льотна академія Національного авіаційного університету»",,,106,190,149.2,"http://www.glau.kr.ua",11981,,,500,"Кіровоградська область",71,135,277,2,4,0,328,
"Вінницька філія Приватного вищого навчального закладу «Київський інститут бізнесу та технологій» товариство з обмеженою відповідальністю",,,0,0,0,"http://kibit.edu.ua/ru/where/vinnitsa/",10500,,,500,"Вінницька область",,13,34,3,,0,13,
"Вінницька філія Приватного вищого навчального закладу «Університет сучасних знань»",,,106.333333333333,118,113.2,"http://usz.vn.ua",8200,,,500,"Вінницька область",,34,74,2,,0,34,
"Вінницький державний педагогічний університет імені Михайла Коцюбинського",,,101,192.333333333333,144.9,"http://www.vspu.edu.ua",9323,,"149",149,"Вінницька область",375,1092,5213,5,14,0,1999,
"Вінницький кооперативний інститут",,,121.666666666667,148.333333333333,134.2,"http://www.vki.vin.ua/",13000,,"235",235,"Вінницька область",,79,302,4,,0,94,
"Вінницький навчально-науковий інститут економіки Тернопільського національного економічного університету",,,105.333333333333,181.666666666667,136.3,"http://www.vie.vin.ua/",,,,500,"Вінницька область",14,179,634,4,45,0,299,
"Вінницький національний аграрний університет",,,100.333333333333,186.666666666667,135.3,"http://www.vsau.org",8625,,"118",118,"Вінницька область",298,1544,7777,5,26,0,2624,
"Вінницький національний технічний університет",93,204,102.333333333333,192,149.3,"http://vntu.edu.ua",9100,,"23",23,"Вінницька область",495,953,6127,6,12,2.2,1870,49.7326203208556
"Вінницький соціально-економічний інститут Вищого навчального закладу «Відкритий міжнародний університет розвитку людини «Україна»",,,110.666666666667,144.333333333333,127.1,"http://vn.vmurol.com.ua",8775,,,500,"Вінницька область",,56,298,5,,0,149,
"Вінницький торговельно - економічний інститут Київського національного торговельно - економічного університету",,,105.333333333333,189,141.9,"http://www.vtei.com.ua",10087,,,500,"Вінницька область",57,1066,4281,4,75,0,1580,
"Волинська православна богословська академія Української православної церкви Київського патріархату",,,,,,,,,,,,,4,5,1,,0,4,
"Волинський інститут імені В'ячеслава Липинського Приватного акціонерного товариства «Вищий навчальний заклад «Міжрегіональна Академія управління персоналом»",,,110,125.333333333333,116,"http://volyn.maup.com.ua",10380,,,500,"Волинська область",,4,21,5,,0,4,
"Вугледарський коледж Донецького державного університету управління",,,,,,,,,,,,,10,13,1,,0,10,
