"","univ","scopus_public","scopus_qoutes","from","to","mean","link","price","year","rate_place","rate_sort","region","amountOfBudget","AmountOfBacalavr","total_apps","total_per_place","budg_per_place","QtoP","totalStudents","scopus_per_student","ranking_2017","ranking_2011","rank4","X1","mean1","sd","median","size","zayav"
"143","Харківський національний університет імені В.Н. Каразіна",768,5527,103.333333333333,198,164.1,"http://start.karazin.ua",16800,NA,"2-3",2,"Харківська область",972,2130,20010,9.57069288389513,21,7.2,3693,207.961007311129,12,13,1,"Харківська область",164.196239076155,19.3725267456336,167.7,2136,20443
"144","Харківський національний університет мистецтв імені І.П. Котляревського",NA,NA,108,191,152.8,"http://dum.kharkov.ua",17200,NA,"177, 178",177,"Харківська область",145,146,292,1.28318584070796,2,0,236,NA,51,170,119,"Харківська область",149.856194690265,20.9110365679024,148.2,226,290
"145","Харківський національний університет міського господарства імені О.М. Бекетова",89,156,103.333333333333,194,141.2,"http://abit.kme.edu.ua",12825,NA,"50",50,"Харківська область",469,1693,7643,7.13651498335183,16,1.8,2384,37.3322147651007,150,162,12,"Харківська область",141.283573806881,19.7116268003163,139.3,901,6430
"146","Харківський національний університет радіоелектроніки",251,781,100.333333333333,196.333333333333,160.1,"http://nure.ua/uk",10900,NA,"15",15,"Харківська область",1057,1634,9179,6.56003223207091,9,3.1,2704,92.8254437869822,24,28,4,"Харківська область",160.06983615364,20.2082427728825,163,1241,8141
"147","Херсонська державна морська академія",NA,NA,100,192.333333333333,141.1,"http://kma.ks.ua",19340,NA,"210",210,"Херсонська область",116,929,2095,4.07581227436823,18,0,1294,NA,153,269,116,"Херсонська область",141.197352587244,21.6091293118528,137.3,277,1129
"148","Херсонський державний університет",25,101,101,195.333333333333,141.1,"http://www.kspu.edu",12245,NA,"64, 65",64,"Херсонська область",382,1205,3682,3.61290322580645,10,4,1967,12.709710218607,152,156,4,"Херсонська область",141.170967741935,19.696216830667,140.3,930,3360
"149","Херсонський національний технічний університет",NA,NA,105.333333333333,191.666666666667,144.1,"http://kntu.net.ua",10800,NA,"111, 112",111,"Херсонська область",198,530,2558,5.87066246056782,13,0,1168,NA,114,140,26,"Херсонська область",144.229232386961,20.0764500697879,143,317,1861
"150","Хмельницький національний університет",46,197,101,190.666666666667,140.3,"http://prk.khnu.km.ua",11857,NA,"29",29,"Хмельницька область",446,1592,7565,5.8117048346056,17,4.3,2658,17.306245297216,167,124,-43,"Хмельницька область",140.416313259825,19.2731416356861,138.3,1179,6852
"151","Центральноукраїнський державний педагогічний університет імені Володимира Винниченка (Кіровоградський державний педагогічний університет імені Володимира Винниченка)",0,7,101,194.666666666667,144.6,"http://www.kspu.kr.ua/",12886,NA,"92",92,"Кіровоградська область",360,857,3256,4.68818897637795,9,-1,1408,0,111,133,22,"Кіровоградська область",144.616010498688,20.5510319694329,145.3,635,2977
"152","Центральноукраїнський національний технічний університет",41,34,101.333333333333,190.333333333333,137.6,"http://www.kntu.kr.ua",11500,NA,"84",84,"Кіровоградська область",370,718,2788,5.67647058823529,8,0.8,1265,32.4110671936759,197,199,2,"Кіровоградська область",137.643382352941,20.046314484035,136,272,1544
"153","Черкаський державний технологічний університет",11,6,104.333333333333,194.333333333333,143.9,"https://chdtu.edu.ua",11300,NA,"129",129,"Черкаська область",339,764,3539,7.08785529715762,10,0.5,1536,7.16145833333333,118,119,1,"Черкаська область",143.949181739879,19.0490156860948,142.3,387,2743
"154","Черкаський національний університет імені Богдана Хмельницького",0,221,103.5,193,147,"https://www.cdu.edu.ua",14059,NA,"39, 40",39,"Черкаська область",382,1179,6252,6.0398740818468,16,-1,1961,0,82,69,-13,"Черкаська область",146.998950682057,19.7074201811304,147,953,5756
"155","Чернівецький національний університет імені Юрія Федьковича",236,1952,100.5,197,151.9,"http://vstup.chnu.edu.ua",14803,NA,"9",9,"Чернівецька область",1064,3326,19944,7.59586776859504,19,8.3,5486,43.018592781626,53,58,5,"Чернівецька область",152.165220385675,21.9223633407342,153.3,2420,18382
"156","Чернівецький торговельно - економічний інститут Київського національного торговельно - економічного університету",NA,NA,101.333333333333,188,140.7,"http://www.chtei-knteu.cv.ua",11992,NA,NA,500,"Чернівецька область",65,535,1935,7.46046511627907,30,0,836,NA,161,109,-52,"Чернівецька область",141.111627906977,20.5649427014434,138.7,215,1604
"157","Чернігівський національний педагогічний університет імені Т.Г. Шевченка",NA,NA,100.5,197.333333333333,143.2,"http://chnpu.edu.ua",NA,NA,"170",170,"Чернігівська область",368,654,2795,5.26131687242798,8,0,1200,NA,126,106,-20,"Чернігівська область",143.357338820302,19.6493340794267,143.4,486,2557
"158","Чернігівський національний технологічний університет",54,165,102.333333333333,193.333333333333,145.2,"http://www.stu.cn.ua",NA,NA,"60, 61",60,"Чернігівська область",406,1320,5651,6.12630208333333,14,3.1,2365,22.8329809725159,104,70,-34,"Чернігівська область",145.2734375,20.6011062260729,144.3,768,4705
"159","Чорноморський національний університет імені Петра Могили",29,50,100,192,147.4,"https://chmnu.edu.ua",NA,NA,"121",121,"Миколаївська область",248,867,3965,4.72033898305085,16,1.7,1426,20.3366058906031,78,61,-17,"Миколаївська область",147.497376916868,20.5693937548257,148.7,826,3899
