"","univ","scopus_public","scopus_qoutes","from","to","mean","link","price","year","rate_place","rate_sort","region","amountOfBudget","AmountOfBacalavr","total_apps","total_per_place","budg_per_place","QtoP","totalStudents","scopus_per_student","ranking_2017","ranking_2011","rank4","X1","mean1","sd","median","size","zayav"
"37","Дніпропетровський національний університет імені Олеся Гончара",263,1787,113,196,159.7,"http://www.dnu.dp.ua/",13362,NA,"11",11,"Дніпропетровська область",715,1746,15085,9.87074829931973,21,6.8,3167,83.0438901168298,27,45,18,"Дніпропетровська область",159.672108843537,17.9018192646061,160.7,1470,14510
"38","Донецький національний медичний університет",24,633,104,191,148.998198198198,"http://www.dsmu.edu.ua",NA,NA,NA,NA,"Донецька область",NA,370,1895,4.13783783783784,NA,26.375,370,64.8648648648649,67,67,0,"Донецька область",148.998198198198,15.9369994722916,152,370,1531
"39","Донецький національний університет імені Василя Стуса",128,639,104,194.666666666667,153,"http://www.donnu.edu.ua",13084,NA,"18",18,"Вінницька область",438,1243,7272,6.6751863684771,17,5,1770,72.316384180791,49,54,5,"Вінницька область",153.007454739084,20.2981727597213,155.3,939,6268
"40","Дрогобицький державний педагогічний університет імені Івана Франка",NA,NA,100,192.333333333333,147.3,"http://pk.drohobych.net",12801,NA,"249, 250",249,"Львівська область",367,894,4240,7.25143953934741,12,0,1838,NA,79,90,11,"Львівська область",147.435380678183,20.5086698382748,148,521,3778
"41","Житомирський державний технологічний університет",35,147,104.666666666667,189.666666666667,145.8,"https://vstup.ztu.edu.ua",16860,NA,"74",74,"Житомирська область",277,779,3893,6.86870897155361,14,4.2,1474,23.7449118046133,95,99,4,"Житомирська область",146.913202042305,20.7080796937477,144,457,3139
"42","Житомирський державний університет імені Івана Франка",24,28,103.5,194.666666666667,144.7,"https://zu.edu.ua",13093,NA,"83",83,"Житомирська область",333,959,4719,5.47705314009662,14,1.2,1809,13.2669983416252,110,86,-24,"Житомирська область",144.576086956522,19.5992013244464,144.2,828,4535
"43","Житомирський національний агроекологічний університет",NA,NA,100.666666666667,191.333333333333,136.3,"http://zu.edu.ua",10960,NA,"141",141,"Житомирська область",402,1399,5507,5.61699346405229,14,0,2609,NA,217,176,-41,"Житомирська область",136.444662309368,16.893615887589,134.3,765,4297
"44","Запорізький державний медичний університет",39,197,107.333333333333,199,157.718383311604,"http://zsmu.edu.ua/",17323,NA,NA,NA,"Запорізька область",NA,767,5059,5.87760416666667,NA,5.05128205128205,767,50.8474576271187,31,30,-1,"Запорізька область",157.718967013889,19.4655571688865,162,768,4514
"45","Запорізький національний технічний університет",83,192,101,194,138.9,"http://pk.zntu.edu.ua",10505,NA,"32",32,"Запорізька область",729,2192,8859,5.66304347826087,12,2.3,3728,22.2639484978541,185,148,-37,"Запорізька область",138.960423634337,19.9203274542032,136.8,1196,6773
"46","Запорізький національний університет",27,83,102,195.333333333333,145.6,"https://web.znu.edu.ua/pk/index.php",10076,NA,"43",43,"Запорізька область",264,2000,10358,6.55473472128946,39,3.1,3439,7.8511195114859,98,97,-1,"Запорізька область",145.628385941348,20.6638786960466,144,1489,9760
"47","Івано-Франківський національний технічний університет нафти і газу",59,81,102,195,149.4,"http://nung.edu.ua",10280,NA,"33",33,"Івано-Франківська область",533,1455,6324,7.10252996005326,12,1.4,2757,21.4000725426188,62,42,-20,"Івано-Франківська область",149.23546382601,21.3883094039396,149.3,751,5334
"48","Ізмаїльський державний гуманітарний університет",NA,NA,101.333333333333,186,138.9,"http://idgu.edu.ua/",12038,NA,"212, 213",212,"Одеська область",205,371,1462,4.57727272727273,7,0,585,NA,184,263,79,"Одеська область",138.649242424242,19.3452195244544,137.3,220,1007
"49","Кам'янець-Подільський національний університет імені Івана Огієнка",0,1,101,191.666666666667,143,"http://vstup.kpnu.edu.ua",9691,NA,"100",100,"Хмельницька область",409,1032,1097,1.00770416024653,3,-1,1944,0,132,121,-11,"Хмельницька область",143.075757575758,19.852351635123,144,649,654
"50","Київський національний лінгвістичний університет",NA,NA,113,197,164.9,"https://onedrive.live.com",23836,NA,"102",102,"м. Київ",335,1216,10956,8.85610347615198,33,0,1595,NA,10,6,-4,"Київ",164.909054163298,16.7176261590076,167,1237,10955
"51","Київський національний торговельно-економічний університет",41,17,101.333333333333,196.333333333333,155.5,"https://knteu.kiev.ua",20584,NA,"39, 40",39,"м. Київ",638,3871,26278,8.97183613752743,41,0.4,5863,6.99300699300699,36,16,-20,"Київ",155.447756644721,21.5058827271914,157.3,2734,24529
"52","Київський національний університет будівництва і архітектури",37,149,105.666666666667,197.5,155.3,"http://www.knuba.edu.ua/",13500,NA,"36",36,"м. Київ",696,1315,6638,6.46213808463252,10,4,2078,17.8055822906641,38,65,27,"Київ",155.293429844098,20.8223486644748,156.3,898,5803
